Hesap No,Müşteri No,Hesap Türü,Bakiye,Bakiye (TL),Bakiye (USD),Bakiye (EUR),Şube Kodu,Hesap Açılış Tarihi,Hesap Durumu
1914,961,Vadesiz Mevduat,26718.79,26718.79,3719.06,2147.91,5,2024-05-27,Aktif
1915,961,Vadeli Mevduat,149243.58,149243.58,13510.19,10771.3,36,2024-03-14,Aktif
1916,962,Vadesiz Mevduat,32314.3,32314.3,4276.58,2085.47,6,2022-03-05,Aktif
1917,962,Vadeli Mevduat,109797.55,109797.55,8097.09,4830.26,21,2024-01-30,Aktif
1918,963,Vadesiz Mevduat,119430.06,119430.06,2787.69,8793.1,15,2023-06-04,Aktif
1919,963,Vadeli Mevduat,80483.58,80483.58,6044.52,5158.43,24,2023-12-12,Aktif
1920,964,Vadesiz Mevduat,143048.43,143048.43,21306.97,1272.82,8,2024-02-18,Aktif
1921,964,Vadesiz Mevduat,111701.99,111701.99,4314.12,7800.11,21,2023-10-12,Aktif
1922,964,Vadeli Mevduat,80027.18,80027.18,2470.88,9067.44,5,2023-05-28,Aktif
1923,965,Döviz Hesabı,91150.94,91150.94,12145.03,9744.71,15,2022-11-14,Aktif
1924,965,Vadesiz Mevduat,146776.32,146776.32,1584.42,15302.13,24,2022-10-14,Aktif
1925,965,Vadesiz Mevduat,55591.96,55591.96,6848.24,2607.89,7,2023-12-30,Aktif
1926,966,Vadesiz Mevduat,39874.58,39874.58,3569.62,3274.9,31,2022-08-07,Aktif
1927,967,Vadesiz Mevduat,25760.31,25760.31,201.25,461.68,20,2023-06-20,Aktif
1928,968,Vadesiz Mevduat,71345.57,71345.57,6158.56,5739.77,36,2024-01-17,Aktif
1929,969,Vadesiz Mevduat,36869.04,36869.04,676.04,800.92,40,2021-07-20,Kapalı
1930,970,Vadeli Mevduat,9219.39,9219.39,50.07,958.07,22,2022-07-02,Aktif
1931,971,Vadeli Mevduat,97663.24,97663.24,4939.76,8444.02,31,2021-06-05,Kapalı
1932,971,Vadesiz Mevduat,82621.5,82621.5,8688.98,7170.54,29,2023-11-09,Aktif
1933,972,Vadesiz Mevduat,82040.71,82040.71,6182.25,6535.59,13,2024-05-27,Aktif
1934,973,Vadesiz Mevduat,19807.59,19807.59,1547.32,1207.74,21,2024-08-17,Aktif
1935,973,Döviz Hesabı,54712.09,54712.09,1336.12,6121.93,31,2021-06-02,Kapalı
1936,973,Vadesiz Mevduat,53173.61,53173.61,1780.35,2202.52,19,2024-02-26,Aktif
1937,974,Vadesiz Mevduat,146371.8,146371.8,5257.96,6238.83,23,2024-03-08,Aktif
1938,975,Döviz Hesabı,41133.12,41133.12,6082.33,3448.34,26,2021-04-06,Aktif
1939,975,Vadesiz Mevduat,41849.17,41849.17,1188.2,2665.87,37,2023-08-07,Aktif
1940,975,Vadesiz Mevduat,33561.69,33561.69,3979.15,770.08,3,2023-08-13,Aktif
1941,976,Vadesiz Mevduat,104019.87,104019.87,9684.3,7890.05,12,2021-08-17,Aktif
1942,977,Vadesiz Mevduat,25737.93,25737.93,882.89,2472.1,31,2023-01-25,Aktif
1943,977,Vadesiz Mevduat,100587.34,100587.34,11178.11,1544.05,7,2022-05-06,Aktif
1944,977,Vadesiz Mevduat,48095.04,48095.04,1460.67,5340.85,8,2022-03-08,Aktif
1945,978,Vadeli Mevduat,142757.81,142757.81,14280.56,15029.31,12,2021-01-25,Aktif
1946,979,Vadesiz Mevduat,15935.37,15935.37,433.97,1010.81,2,2024-08-24,Aktif
1947,979,Vadesiz Mevduat,12585.83,12585.83,558.48,1314.72,30,2021-08-12,Aktif
1948,980,Vadeli Mevduat,26747.04,26747.04,2175.83,3108.66,18,2022-07-12,Aktif
1949,981,Vadesiz Mevduat,143963.05,143963.05,19432.11,12480.82,2,2024-01-02,Aktif
1950,982,Vadesiz Mevduat,74074.73,74074.73,9955.59,5824.88,37,2022-05-17,Aktif
1951,982,Vadeli Mevduat,11067.07,11067.07,1008.51,175.07,25,2023-05-19,Aktif
1952,982,Vadeli Mevduat,98304.23,98304.23,12064.0,3364.29,9,2023-01-09,Aktif
1953,983,Vadesiz Mevduat,113889.41,113889.41,7412.85,12131.64,26,2023-04-01,Aktif
1954,983,Vadesiz Mevduat,50639.22,50639.22,2434.4,4952.5,8,2024-06-30,Kapalı
1955,983,Vadesiz Mevduat,17309.1,17309.1,412.01,1174.76,11,2021-03-08,Aktif
1956,984,Vadesiz Mevduat,101107.75,101107.75,14652.73,3927.12,23,2022-08-10,Aktif
1957,984,Vadesiz Mevduat,104894.77,104894.77,1092.51,2999.1,16,2024-04-19,Aktif
1958,984,Vadeli Mevduat,52574.6,52574.6,689.25,1790.75,5,2022-07-24,Kapalı
1959,985,Vadesiz Mevduat,127101.86,127101.86,3966.91,12733.69,20,2021-09-03,Aktif
1960,985,Vadesiz Mevduat,126821.02,126821.02,2274.78,5644.09,11,2022-08-31,Aktif
1961,985,Vadesiz Mevduat,57565.11,57565.11,143.34,2399.55,31,2022-01-03,Aktif
1962,986,Vadesiz Mevduat,85236.48,85236.48,284.61,7137.98,21,2021-05-15,Aktif
1963,986,Vadesiz Mevduat,59425.46,59425.46,569.79,1457.0,4,2023-12-14,Aktif
1964,986,Vadeli Mevduat,70813.05,70813.05,8135.65,8432.1,15,2023-06-13,Kapalı
1965,987,Vadeli Mevduat,143881.32,143881.32,690.37,15582.8,25,2023-06-01,Aktif
1966,987,Vadesiz Mevduat,44147.15,44147.15,4396.54,3868.73,4,2022-09-20,Aktif
1967,987,Vadesiz Mevduat,45722.24,45722.24,147.92,4503.98,10,2024-08-02,Aktif
1968,988,Vadesiz Mevduat,70458.64,70458.64,4489.18,6453.76,37,2024-07-04,Aktif
1969,988,Vadesiz Mevduat,56049.01,56049.01,5416.64,2943.62,32,2023-10-03,Aktif
1970,988,Vadesiz Mevduat,114976.01,114976.01,7322.97,5474.17,10,2023-04-10,Aktif
1971,989,Vadesiz Mevduat,90090.44,90090.44,5643.17,1748.63,35,2023-07-01,Aktif
1972,989,Vadesiz Mevduat,126580.79,126580.79,15892.59,12908.14,2,2021-11-30,Aktif
1973,990,Vadeli Mevduat,147901.59,147901.59,16188.74,170.92,16,2024-08-25,Aktif
1974,991,Vadeli Mevduat,70257.62,70257.62,7617.95,4242.68,27,2021-10-04,Aktif
1975,992,Vadeli Mevduat,53559.15,53559.15,4640.39,5870.89,40,2024-09-11,Aktif
1976,993,Vadeli Mevduat,20880.96,20880.96,1207.5,144.69,27,2022-06-30,Aktif
1977,993,Döviz Hesabı,143100.7,143100.7,12797.12,10735.46,38,2024-10-03,Aktif
1978,994,Vadesiz Mevduat,48515.36,48515.36,1208.4,584.09,9,2023-08-31,Aktif
1979,994,Vadesiz Mevduat,84215.76,84215.76,7834.59,6202.64,27,2023-06-13,Aktif
1980,995,Vadesiz Mevduat,121510.97,121510.97,13479.91,4654.01,7,2023-01-29,Aktif
1981,995,Vadeli Mevduat,134013.88,134013.88,10997.5,6434.31,8,2022-02-05,Aktif
1982,995,Vadesiz Mevduat,93323.52,93323.52,13939.68,7772.95,7,2021-10-24,Aktif
1983,996,Döviz Hesabı,51342.58,51342.58,3783.78,5903.55,3,2023-02-26,Kapalı
1984,996,Vadesiz Mevduat,65799.59,65799.59,9850.56,4973.12,36,2021-02-12,Aktif
1985,997,Vadesiz Mevduat,42633.69,42633.69,1501.31,607.44,12,2024-02-07,Aktif
1986,997,Vadesiz Mevduat,73569.07,73569.07,8649.11,3843.03,8,2023-09-05,Aktif
1987,998,Döviz Hesabı,86222.54,86222.54,7420.83,7233.76,33,2021-07-20,Aktif
1988,998,Vadeli Mevduat,104928.79,104928.79,8468.58,8026.7,26,2022-01-14,Aktif
1989,998,Vadeli Mevduat,35163.11,35163.11,3394.2,635.58,39,2023-07-29,Aktif
1990,999,Vadesiz Mevduat,69648.75,69648.75,952.26,1362.74,3,2022-11-01,Aktif
1991,1000,Vadeli Mevduat,25097.41,25097.41,1932.62,1476.07,4,2023-11-16,Aktif
1992,1000,Vadeli Mevduat,75429.87,75429.87,3992.96,505.79,5,2021-12-05,Aktif
1993,1000,Vadesiz Mevduat,139500.5,139500.5,5542.87,7956.68,17,2024-04-06,Aktif
1994,784,Döviz Hesabı,81611.24,81611.24,1551.84,104.58,24,2023-01-01,Aktif
1995,87,Vadeli Mevduat,23973.23,23973.23,1372.88,1823.75,38,2023-01-01,Aktif
1996,70,Vadesiz Mevduat,69430.93,69430.93,8533.12,6970.56,19,2023-01-01,Aktif
1997,885,Döviz Hesabı,10136.19,10136.19,1222.61,25.14,19,2023-01-01,Aktif
1998,181,Vadeli Mevduat,104231.17,104231.17,11154.14,3957.86,25,2023-01-01,Aktif
1999,9,Döviz Hesabı,21942.94,21942.94,1178.41,3.85,12,2023-01-01,Aktif
2000,325,Döviz Hesabı,80956.81,80956.81,10551.33,8810.67,21,2023-01-01,Aktif
2001,682,Vadeli Mevduat,23842.9,23842.9,1227.66,1223.31,32,2023-01-01,Aktif
2002,28,Vadesiz Mevduat,13155.74,13155.74,410.06,61.69,39,2023-01-01,Aktif
2003,156,Vadeli Mevduat,69402.67,69402.67,4216.75,4631.65,31,2023-01-01,Aktif
2004,824,Döviz Hesabı,54451.23,54451.23,4514.54,4777.87,14,2023-01-01,Aktif
2005,612,Vadeli Mevduat,147587.28,147587.28,20814.7,16058.76,2,2023-01-01,Aktif
2006,754,Vadesiz Mevduat,73905.13,73905.13,7831.82,7084.83,1,2023-01-01,Aktif
2007,194,Vadeli Mevduat,52021.81,52021.81,4195.88,4395.3,38,2023-01-01,Aktif
2008,570,Vadesiz Mevduat,113023.48,113023.48,10262.77,9263.93,24,2023-01-01,Aktif
2009,902,Döviz Hesabı,63365.88,63365.88,5979.17,6281.93,9,2023-01-01,Aktif
2010,623,Vadeli Mevduat,67533.4,67533.4,5663.76,2107.76,10,2023-01-01,Aktif
2011,907,Vadesiz Mevduat,73727.68,73727.68,9874.99,7458.54,32,2023-01-01,Aktif
2012,312,Vadesiz Mevduat,136495.2,136495.2,109.58,9816.73,8,2023-01-01,Aktif
2013,16,Vadesiz Mevduat,10256.97,10256.97,1117.69,149.82,12,2023-01-01,Aktif
2014,830,Vadeli Mevduat,143176.64,143176.64,16756.46,3004.48,17,2023-01-01,Aktif
2015,252,Döviz Hesabı,49489.46,49489.46,1381.27,5394.24,10,2023-01-01,Aktif
2016,513,Vadesiz Mevduat,9914.17,9914.17,456.17,733.61,36,2023-01-01,Aktif
2017,174,Vadesiz Mevduat,19484.76,19484.76,668.46,193.89,21,2023-01-01,Aktif
2018,221,Vadesiz Mevduat,9264.13,9264.13,1368.0,889.14,19,2023-01-01,Aktif
2019,340,Döviz Hesabı,127510.7,127510.7,10802.64,11289.14,34,2023-01-01,Aktif
2020,511,Vadeli Mevduat,56547.26,56547.26,6872.61,3900.06,15,2023-01-01,Aktif
2021,665,Vadeli Mevduat,79990.24,79990.24,5758.82,5888.2,28,2023-01-01,Aktif
2022,890,Vadeli Mevduat,77380.79,77380.79,5705.88,9248.03,3,2023-01-01,Aktif
2023,333,Vadesiz Mevduat,126295.21,126295.21,2076.82,9431.34,8,2023-01-01,Aktif
2024,544,Vadesiz Mevduat,3824.97,3824.97,465.37,66.3,29,2023-01-01,Aktif
2025,349,Döviz Hesabı,54804.4,54804.4,5924.64,284.86,10,2023-01-01,Aktif
2026,280,Döviz Hesabı,82161.93,82161.93,9305.9,6818.95,15,2023-01-01,Aktif
2027,996,Döviz Hesabı,103312.66,103312.66,4044.0,3302.5,14,2023-01-01,Aktif
2028,608,Vadesiz Mevduat,68301.1,68301.1,5489.68,485.16,9,2023-01-01,Aktif
2029,390,Döviz Hesabı,149119.04,149119.04,19201.03,16896.47,16,2023-01-01,Aktif
2030,406,Vadesiz Mevduat,132785.5,132785.5,18326.72,3918.04,25,2023-01-01,Aktif
2031,704,Döviz Hesabı,112430.35,112430.35,5969.8,242.34,40,2023-01-01,Aktif
2032,613,Vadesiz Mevduat,45535.8,45535.8,596.12,4095.58,18,2023-01-01,Aktif
2033,206,Vadeli Mevduat,59194.31,59194.31,8703.48,1239.67,19,2023-01-01,Aktif
2034,275,Döviz Hesabı,115086.81,115086.81,15428.01,10435.96,23,2023-01-01,Aktif
2035,280,Döviz Hesabı,71720.26,71720.26,1295.85,453.11,27,2023-01-01,Aktif
2036,810,Vadesiz Mevduat,64110.58,64110.58,2934.85,4225.61,24,2023-01-01,Aktif
2037,225,Vadeli Mevduat,133789.75,133789.75,4581.36,6763.84,24,2023-01-01,Aktif
2038,395,Vadesiz Mevduat,43568.16,43568.16,2471.09,510.82,17,2023-01-01,Aktif
2039,82,Vadesiz Mevduat,1118.64,1118.64,163.7,112.57,30,2023-01-01,Aktif
2040,297,Vadeli Mevduat,131117.44,131117.44,11392.16,260.41,28,2023-01-01,Aktif
2041,241,Vadesiz Mevduat,56146.39,56146.39,5746.38,2933.99,2,2023-01-01,Aktif
2042,147,Vadeli Mevduat,123702.29,123702.29,5234.57,14742.83,5,2023-01-01,Aktif
2043,725,Vadeli Mevduat,112302.75,112302.75,11410.16,3858.01,4,2023-01-01,Aktif
2044,392,Vadesiz Mevduat,98954.65,98954.65,13711.34,4032.1,8,2023-01-01,Aktif
2045,17,Döviz Hesabı,106230.03,106230.03,7987.79,4556.46,19,2023-01-01,Aktif
2046,241,Vadeli Mevduat,24483.95,24483.95,2741.23,1646.27,38,2023-01-01,Aktif
2047,540,Vadeli Mevduat,48078.1,48078.1,3946.22,205.95,9,2023-01-01,Aktif
2048,296,Vadesiz Mevduat,132813.03,132813.03,5574.64,6761.04,34,2023-01-01,Aktif
2049,714,Döviz Hesabı,90225.48,90225.48,12415.78,9711.77,11,2023-01-01,Aktif
2050,444,Vadeli Mevduat,3244.72,3244.72,170.84,280.89,20,2023-01-01,Aktif
2051,880,Vadeli Mevduat,141138.02,141138.02,11480.53,9777.51,28,2023-01-01,Aktif
2052,462,Döviz Hesabı,145592.0,145592.0,10210.51,8951.85,8,2023-01-01,Aktif
2053,519,Vadesiz Mevduat,125623.29,125623.29,15309.01,10008.89,21,2023-01-01,Aktif
2054,585,Vadeli Mevduat,23622.82,23622.82,1406.1,1666.27,12,2023-01-01,Aktif
2055,922,Döviz Hesabı,20036.27,20036.27,569.27,1235.37,38,2023-01-01,Aktif
2056,813,Vadeli Mevduat,68501.47,68501.47,2955.99,2921.99,30,2023-01-01,Aktif
2057,962,Döviz Hesabı,128724.34,128724.34,15659.96,5520.25,23,2023-01-01,Aktif
2058,373,Döviz Hesabı,105350.89,105350.89,7262.68,7072.23,37,2023-01-01,Aktif
2059,935,Döviz Hesabı,131480.38,131480.38,6273.62,11158.49,28,2023-01-01,Aktif
2060,628,Vadeli Mevduat,66439.32,66439.32,3204.22,6180.72,30,2023-01-01,Aktif
2061,294,Döviz Hesabı,57803.75,57803.75,2752.53,1460.46,30,2023-01-01,Aktif
2062,744,Vadeli Mevduat,125895.17,125895.17,3730.32,12451.94,27,2023-01-01,Aktif
2063,146,Vadesiz Mevduat,42977.42,42977.42,4484.45,2589.11,3,2023-01-01,Aktif
2064,809,Vadeli Mevduat,111668.15,111668.15,791.52,11001.88,21,2023-01-01,Aktif
2065,246,Döviz Hesabı,80452.55,80452.55,3619.39,4185.84,9,2023-01-01,Aktif
2066,541,Vadesiz Mevduat,146494.48,146494.48,4122.81,11666.61,39,2023-01-01,Aktif
2067,903,Vadeli Mevduat,60566.89,60566.89,823.84,4467.36,2,2023-01-01,Aktif
2068,764,Vadesiz Mevduat,104527.3,104527.3,11086.41,10019.5,23,2023-01-01,Aktif
2069,680,Vadeli Mevduat,136162.1,136162.1,7109.61,1632.28,9,2023-01-01,Aktif
2070,718,Döviz Hesabı,82321.4,82321.4,11972.06,5190.44,14,2023-01-01,Aktif
2071,588,Vadesiz Mevduat,149710.3,149710.3,9943.49,6717.74,14,2023-01-01,Aktif
2072,664,Döviz Hesabı,85164.31,85164.31,748.93,4085.56,4,2023-01-01,Aktif
2073,74,Döviz Hesabı,124516.34,124516.34,9476.85,2136.82,24,2023-01-01,Aktif
2074,588,Döviz Hesabı,133996.06,133996.06,761.62,13421.82,23,2023-01-01,Aktif
2075,692,Vadesiz Mevduat,120301.61,120301.61,4321.03,4353.87,38,2023-01-01,Aktif
2076,173,Vadesiz Mevduat,52069.99,52069.99,6826.32,2018.76,25,2023-01-01,Aktif
2077,205,Döviz Hesabı,125174.74,125174.74,940.09,13996.39,11,2023-01-01,Aktif
2078,655,Döviz Hesabı,71016.18,71016.18,6265.69,4321.12,9,2023-01-01,Aktif
2079,719,Döviz Hesabı,52540.82,52540.82,428.6,2628.95,4,2023-01-01,Aktif
2080,311,Vadesiz Mevduat,107372.04,107372.04,4417.11,2023.41,21,2023-01-01,Aktif
2081,710,Vadeli Mevduat,51001.64,51001.64,309.9,5646.72,29,2023-01-01,Aktif
2082,348,Döviz Hesabı,86482.83,86482.83,5669.48,4533.84,14,2023-01-01,Aktif
2083,928,Vadesiz Mevduat,55301.47,55301.47,5963.77,6388.45,23,2023-01-01,Aktif
2084,684,Vadesiz Mevduat,128923.87,128923.87,10139.12,11347.38,4,2023-01-01,Aktif
2085,342,Vadesiz Mevduat,138383.85,138383.85,8069.46,7451.07,3,2023-01-01,Aktif
2086,321,Döviz Hesabı,16930.52,16930.52,689.6,1308.78,17,2023-01-01,Aktif
2087,829,Vadesiz Mevduat,22871.7,22871.7,1464.44,2079.62,11,2023-01-01,Aktif
2088,143,Döviz Hesabı,142465.39,142465.39,13355.84,12637.91,22,2023-01-01,Aktif
2089,844,Vadesiz Mevduat,109498.16,109498.16,7224.87,10284.41,5,2023-01-01,Aktif
2090,862,Vadeli Mevduat,140251.89,140251.89,2490.2,8011.73,26,2023-01-01,Aktif
2091,883,Döviz Hesabı,79519.6,79519.6,7075.44,3738.08,26,2023-01-01,Aktif
2092,421,Vadeli Mevduat,80799.46,80799.46,9618.4,9517.19,31,2023-01-01,Aktif
2093,913,Vadeli Mevduat,131179.42,131179.42,17900.54,3922.43,15,2023-01-01,Aktif
2094,181,Vadesiz Mevduat,19795.3,19795.3,2423.26,824.57,2,2023-01-01,Aktif
2095,373,Döviz Hesabı,145179.02,145179.02,13615.77,13283.09,1,2023-01-01,Aktif
2096,820,Vadesiz Mevduat,30469.74,30469.74,2887.17,579.6,29,2023-01-01,Aktif
2097,110,Döviz Hesabı,59629.43,59629.43,7592.65,4594.58,31,2023-01-01,Aktif
2098,518,Vadeli Mevduat,4247.12,4247.12,173.61,232.4,7,2023-01-01,Aktif
2099,614,Vadeli Mevduat,21588.78,21588.78,1125.78,1731.35,11,2023-01-01,Aktif
2100,647,Döviz Hesabı,144005.85,144005.85,688.63,5183.76,2,2023-01-01,Aktif
2101,723,Vadesiz Mevduat,60692.77,60692.77,6314.63,477.17,19,2023-01-01,Aktif
2102,693,Vadesiz Mevduat,121161.39,121161.39,7507.87,3718.48,24,2023-01-01,Aktif
2103,886,Vadesiz Mevduat,23549.73,23549.73,23.28,1172.62,30,2023-01-01,Aktif
2104,36,Döviz Hesabı,111494.33,111494.33,8480.46,5931.53,14,2023-01-01,Aktif
2105,864,Döviz Hesabı,48138.85,48138.85,5360.2,2499.73,15,2023-01-01,Aktif
2106,432,Döviz Hesabı,30864.09,30864.09,3629.99,152.84,6,2023-01-01,Aktif
2107,726,Vadeli Mevduat,95823.61,95823.61,12478.92,6807.3,22,2023-01-01,Aktif
2108,787,Vadesiz Mevduat,60561.46,60561.46,345.9,1941.8,29,2023-01-01,Aktif
2109,516,Döviz Hesabı,109768.6,109768.6,12578.04,10105.35,1,2023-01-01,Aktif
2110,864,Vadesiz Mevduat,125587.9,125587.9,2828.24,1176.06,22,2023-01-01,Aktif
2111,283,Vadeli Mevduat,145496.47,145496.47,4438.39,1667.32,9,2023-01-01,Aktif
2112,104,Vadeli Mevduat,9807.85,9807.85,1375.52,364.03,38,2023-01-01,Aktif
2113,694,Vadesiz Mevduat,35767.3,35767.3,4352.2,2860.04,10,2023-01-01,Aktif
2114,622,Vadeli Mevduat,127323.88,127323.88,7998.68,2062.47,21,2023-01-01,Aktif
2115,504,Vadesiz Mevduat,92413.69,92413.69,927.01,10653.87,13,2023-01-01,Aktif
2116,631,Vadeli Mevduat,78883.2,78883.2,8420.41,6020.79,29,2023-01-01,Aktif
2117,604,Vadeli Mevduat,120653.44,120653.44,5386.25,8905.14,26,2023-01-01,Aktif
2118,88,Vadeli Mevduat,80337.78,80337.78,8750.39,6531.71,38,2023-01-01,Aktif
2119,99,Vadesiz Mevduat,90781.67,90781.67,5710.09,5494.9,15,2023-01-01,Aktif
2120,815,Döviz Hesabı,56513.17,56513.17,7641.86,5828.62,13,2023-01-01,Aktif
2121,444,Vadeli Mevduat,108159.99,108159.99,4142.89,5290.44,37,2023-01-01,Aktif
2122,54,Döviz Hesabı,142277.32,142277.32,19990.4,722.84,33,2023-01-01,Aktif
2123,383,Vadesiz Mevduat,149921.17,149921.17,9774.16,13558.55,29,2023-01-01,Aktif
2124,854,Döviz Hesabı,44364.78,44364.78,1876.78,1372.29,26,2023-01-01,Aktif
2125,868,Vadesiz Mevduat,74140.09,74140.09,9603.72,8665.54,20,2023-01-01,Aktif
2126,760,Vadeli Mevduat,6383.56,6383.56,307.8,666.67,36,2023-01-01,Aktif
2127,940,Vadeli Mevduat,142876.01,142876.01,11657.02,152.39,1,2023-01-01,Aktif
2128,412,Vadesiz Mevduat,136449.42,136449.42,5096.69,3959.77,24,2023-01-01,Aktif
2129,900,Vadeli Mevduat,113809.48,113809.48,12087.96,3510.89,33,2023-01-01,Aktif
2130,742,Vadesiz Mevduat,60608.62,60608.62,6530.77,5956.14,28,2023-01-01,Aktif
2131,797,Döviz Hesabı,7377.0,7377.0,343.76,299.56,40,2023-01-01,Aktif
2132,198,Vadesiz Mevduat,126314.62,126314.62,9920.38,7167.04,3,2023-01-01,Aktif
2133,366,Döviz Hesabı,43973.31,43973.31,5537.35,1550.68,7,2023-01-01,Aktif
2134,282,Vadesiz Mevduat,60517.37,60517.37,5925.04,3685.09,33,2023-01-01,Aktif
2135,948,Vadesiz Mevduat,124439.37,124439.37,15523.88,8222.92,27,2023-01-01,Aktif
2136,30,Vadeli Mevduat,52452.59,52452.59,368.71,5700.84,15,2023-01-01,Aktif
2137,189,Vadeli Mevduat,136367.83,136367.83,12568.6,4787.81,36,2023-01-01,Aktif
2138,512,Döviz Hesabı,112341.5,112341.5,2653.79,6806.99,27,2023-01-01,Aktif
2139,659,Döviz Hesabı,50740.74,50740.74,2282.31,4716.63,24,2023-01-01,Aktif
2140,838,Vadesiz Mevduat,52950.87,52950.87,6909.44,4434.33,2,2023-01-01,Aktif
2141,975,Vadeli Mevduat,94758.87,94758.87,13544.06,4225.54,9,2023-01-01,Aktif
2142,51,Vadesiz Mevduat,114362.06,114362.06,13811.38,932.05,5,2023-01-01,Aktif
2143,631,Vadesiz Mevduat,124341.99,124341.99,6308.74,8104.53,37,2023-01-01,Aktif
2144,188,Döviz Hesabı,140505.1,140505.1,14890.96,1485.98,4,2023-01-01,Aktif
2145,822,Vadeli Mevduat,42536.88,42536.88,284.16,923.57,25,2023-01-01,Aktif
2146,19,Vadesiz Mevduat,109379.51,109379.51,9923.32,11344.61,37,2023-01-01,Aktif
2147,14,Vadesiz Mevduat,38538.16,38538.16,2828.77,1457.44,17,2023-01-01,Aktif
2148,330,Vadeli Mevduat,103949.23,103949.23,171.08,900.18,39,2023-01-01,Aktif
2149,578,Döviz Hesabı,149533.01,149533.01,8963.27,15190.58,21,2023-01-01,Aktif
2150,532,Vadesiz Mevduat,68265.4,68265.4,1461.33,815.87,3,2023-01-01,Aktif
2151,791,Vadeli Mevduat,138410.98,138410.98,18139.3,9706.54,10,2023-01-01,Aktif
2152,116,Döviz Hesabı,127492.42,127492.42,12313.04,29.43,5,2023-01-01,Aktif
2153,894,Vadesiz Mevduat,83127.77,83127.77,6262.08,4923.09,21,2023-01-01,Aktif
2154,466,Vadeli Mevduat,72651.82,72651.82,3349.96,952.22,21,2023-01-01,Aktif
2155,321,Vadeli Mevduat,145141.86,145141.86,17740.84,15200.93,27,2023-01-01,Aktif
2156,788,Vadeli Mevduat,75749.97,75749.97,6704.83,5575.56,13,2023-01-01,Aktif
2157,610,Vadesiz Mevduat,133456.28,133456.28,7872.05,2549.82,35,2023-01-01,Aktif
2158,690,Vadeli Mevduat,117601.24,117601.24,10549.95,2711.41,37,2023-01-01,Aktif
2159,621,Vadeli Mevduat,56824.35,56824.35,1487.23,4800.85,25,2023-01-01,Aktif
2160,290,Vadeli Mevduat,54278.06,54278.06,2914.11,2402.33,1,2023-01-01,Aktif
2161,768,Vadeli Mevduat,120572.32,120572.32,17631.1,13721.53,15,2023-01-01,Aktif
2162,719,Vadeli Mevduat,143451.65,143451.65,16771.2,15760.96,4,2023-01-01,Aktif
2163,612,Vadesiz Mevduat,68674.62,68674.62,2418.65,3906.2,15,2023-01-01,Aktif
2164,290,Vadeli Mevduat,8097.48,8097.48,867.55,253.63,15,2023-01-01,Aktif
2165,518,Vadesiz Mevduat,66439.96,66439.96,1418.18,4594.64,17,2023-01-01,Aktif
2166,936,Vadeli Mevduat,129596.1,129596.1,632.0,15492.88,36,2023-01-01,Aktif
2167,912,Döviz Hesabı,84538.93,84538.93,5367.82,9730.69,19,2023-01-01,Aktif
2168,336,Vadeli Mevduat,119841.38,119841.38,14115.08,7440.98,34,2023-01-01,Aktif
2169,357,Döviz Hesabı,101373.62,101373.62,2012.01,8261.09,18,2023-01-01,Aktif
2170,984,Döviz Hesabı,98700.8,98700.8,10851.83,7298.32,34,2023-01-01,Aktif
2171,418,Vadesiz Mevduat,89673.47,89673.47,9223.12,8711.03,35,2023-01-01,Aktif
2172,267,Vadesiz Mevduat,130437.7,130437.7,7135.24,6975.88,34,2023-01-01,Aktif
2173,764,Vadeli Mevduat,89627.91,89627.91,11955.18,7161.98,11,2023-01-01,Aktif
2174,35,Vadeli Mevduat,74873.39,74873.39,8984.55,821.25,2,2023-01-01,Aktif
2175,638,Vadeli Mevduat,115873.01,115873.01,16008.32,4241.79,24,2023-01-01,Aktif
2176,320,Vadeli Mevduat,28355.56,28355.56,53.46,3108.81,4,2023-01-01,Aktif
2177,401,Vadesiz Mevduat,4376.99,4376.99,592.55,248.64,38,2023-01-01,Aktif
2178,457,Vadeli Mevduat,106322.32,106322.32,13735.03,11728.06,13,2023-01-01,Aktif
2179,440,Vadeli Mevduat,100083.46,100083.46,4716.09,3141.88,34,2023-01-01,Aktif
2180,357,Döviz Hesabı,121374.13,121374.13,4799.25,2580.68,26,2023-01-01,Aktif
2181,296,Vadeli Mevduat,8179.83,8179.83,135.95,956.9,9,2023-01-01,Aktif
2182,240,Vadesiz Mevduat,12887.95,12887.95,1538.06,1534.69,8,2023-01-01,Aktif
2183,957,Vadesiz Mevduat,136004.58,136004.58,9886.66,3668.95,17,2023-01-01,Aktif
2184,560,Vadesiz Mevduat,123834.97,123834.97,16395.18,14086.67,1,2023-01-01,Aktif
2185,956,Vadeli Mevduat,45808.5,45808.5,5450.95,1254.22,17,2023-01-01,Aktif
2186,515,Vadeli Mevduat,34132.65,34132.65,3253.33,1311.65,2,2023-01-01,Aktif
2187,994,Vadesiz Mevduat,145654.95,145654.95,9073.73,14692.65,1,2023-01-01,Aktif
2188,221,Vadeli Mevduat,78101.8,78101.8,6868.37,6250.06,21,2023-01-01,Aktif
2189,284,Döviz Hesabı,119938.55,119938.55,11473.59,14380.91,37,2023-01-01,Aktif
2190,812,Vadeli Mevduat,83311.83,83311.83,6327.91,4290.62,2,2023-01-01,Aktif
2191,143,Döviz Hesabı,29855.92,29855.92,810.45,2894.27,22,2023-01-01,Aktif
